  [System Process]
 4 System
20264 21228 opera.exe
20264 4992 opera.exe
4876 11680 msedge.exe
11680 20548 msedge.exe
11680 24096 msedge.exe
11680 20708 msedge.exe
11680 25780 msedge.exe
20264 3728 opera.exe
20264 5188 opera.exe
20264 4380 opera.exe
20264 21564 opera.exe
20264 11048 opera.exe
20264 27096 opera.exe
20264 15316 opera.exe
1404 19868 WmiPrvSE.exe
20084 14900 PerfWatson2.exe
1232 32984 svchost.exe
1232 31188 svchost.exe
3508 31144 audiodg.exe
31836 22500 PerfWatson2.exe
27892 27684 PerfWatson2.exe
1232 16232 WmiApSrv.exe
8388 14888 devenv.exe
30580 30320 PerfWatson2.exe
14888 4180 Microsoft.ServiceHub.Controller.exe
4180 18912 ServiceHub.VSDetouredHost.exe
4180 24604 ServiceHub.ThreadedWaitDialog.exe
4180 7660 ServiceHub.IndexingService.exe
14888 11168 vshost.exe
11168 12844 vcpkgsrv.exe
4180 20448 ServiceHub.IntellicodeModelService.exe
4180 31432 ServiceHub.IdentityHost.exe
3700 7068 vctip.exe
1404 31480 RuntimeBroker.exe
4180 30656 ServiceHub.SettingsHost.exe
4180 25560 ServiceHub.Host.netfx.x86.exe
14888 21776 MSBuild.exe
21776 9244 conhost.exe
14888 33184 VsDebugConsole.exe
33184 7392 conhost.exe
1404 22084 OpenConsole.exe
1404 25236 WindowsTerminal.exe
33184 29084 Collect.exe.exe
1404 5040 RuntimeBroker.exe
msedge.exe
11680 20708 msedge.exe
11680 25780 msedge.exe
8388 6044 devenv.exe
25476 9808 PerfWatson2.exe
6044 15616 Microsoft.ServiceHub.Controller.exe
15616 5308 ServiceHub.VSDetouredHost.exe
15616 13952 ServiceHub.IdentityHost.exe
15616 24624 ServiceHub.SettingsHost.exe
15616 26796 ServiceHub.Host.netfx.x86.exe
6044 12712 vshost.exe
15616 27576 ServiceHub.IndexingService.exe
15616 27772 ServiceHub.IntellicodeModelService.exe
15616 28580 ServiceHub.Host.AnyCPU.exe
15616 21476 ServiceHub.TestWindowStoreHost.exe
12712 13276 vcpkgsrv.exe
12712 29220 vcpkgsrv.exe
12712 28248 vcpkgsrv.exe
20264 3728 opera.exe
